bucket_start_utc,bucket_end_utc,cycle_results,minted_reported,graphiti_successes_reported,grok_writer_sessions,grok_completed_sessions,grok_model_calls,grok_input_tokens,grok_output_tokens,grok_total_tokens,grok_cached_read_tokens,grok_reasoning_tokens,cursor_fallback_sessions,stored_outputs,stored_grok_outputs,stored_cursor_outputs,stored_other_outputs
2026-08-20T04:50:00Z,2026-08-20T04:55:00Z,0,0,0,1,1,1,51361,455,51816,128,172,0,1,1,0,0
2026-08-20T04:55:00Z,2026-08-20T05:00:00Z,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T05:00:00Z,2026-08-20T05:05:00Z,0,0,0,1,1,1,51357,436,51793,5248,70,0,0,0,0,0
2026-08-20T05:05:00Z,2026-08-20T05:10:00Z,0,0,0,1,1,1,51346,430,51776,1408,59,0,0,0,0,0
2026-08-20T05:10:00Z,2026-08-20T05:15:00Z,0,0,0,1,1,1,51336,104,51440,128,61,0,0,0,0,0
2026-08-20T05:15:00Z,2026-08-20T05:20:00Z,0,0,0,2,2,2,102797,758,103555,14208,379,0,1,1,0,0
2026-08-20T05:20:00Z,2026-08-20T05:25:00Z,0,0,0,1,1,1,51340,132,51472,128,78,0,1,1,0,0
2026-08-20T05:25:00Z,2026-08-20T05:30:00Z,0,0,0,2,2,2,102658,383,103041,384,122,0,1,1,0,0
2026-08-20T05:30:00Z,2026-08-20T05:35:00Z,0,0,0,1,1,1,51462,409,51871,128,167,0,1,1,0,0
2026-08-20T05:35:00Z,2026-08-20T05:40:00Z,0,0,0,2,2,2,102961,526,103487,0,214,0,0,0,0,0
2026-08-20T05:40:00Z,2026-08-20T05:45:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2026-08-20T05:45:00Z,2026-08-20T05:50:00Z,1,5,0,2,2,2,102705,4545,107250,2560,179,0,1,1,0,0
2026-08-20T05:50:00Z,2026-08-20T05:55:00Z,0,0,0,3,3,3,154068,784,154852,256,447,1,3,2,1,0
2026-08-20T05:55:00Z,2026-08-20T06:00:00Z,0,0,0,1,1,1,51347,164,51511,14208,138,1,1,0,1,0
2026-08-20T06:00:00Z,2026-08-20T06:05:00Z,1,5,0,3,3,3,154047,397,154444,14336,231,2,2,1,1,0
2026-08-20T06:05:00Z,2026-08-20T06:10:00Z,0,0,0,2,2,2,102687,529,103216,1536,123,0,3,2,1,0
2026-08-20T06:10:00Z,2026-08-20T06:15:00Z,1,5,0,3,3,3,154626,1124,155750,14592,268,1,2,1,1,0
2026-08-20T06:15:00Z,2026-08-20T06:20:00Z,0,0,0,3,3,5,265553,1271,266824,105472,1073,2,2,2,0,0
2026-08-20T06:20:00Z,2026-08-20T06:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2026-08-20T06:25:00Z,2026-08-20T06:30:00Z,1,5,0,5,5,5,257220,2509,259729,12160,434,1,5,4,1,0
2026-08-20T06:30:00Z,2026-08-20T06:35:00Z,1,5,0,4,4,4,205588,2232,207820,11904,452,0,3,3,0,0
2026-08-20T06:35:00Z,2026-08-20T06:40:00Z,0,0,0,1,1,1,51354,130,51484,128,101,0,2,2,0,0
2026-08-20T06:40:00Z,2026-08-20T06:45:00Z,1,5,0,5,5,5,256754,1691,258445,1792,381,0,5,5,0,0
2026-08-20T06:45:00Z,2026-08-20T06:50:00Z,1,5,0,2,2,2,102698,960,103658,6656,166,1,1,0,1,0
2026-08-20T06:50:00Z,2026-08-20T06:55:00Z,0,0,0,3,3,4,206357,1728,208085,67072,365,2,3,1,2,0
2026-08-20T06:55:00Z,2026-08-20T07:00:00Z,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2026-08-20T07:00:00Z,2026-08-20T07:05:00Z,1,5,0,3,3,3,154073,1193,155266,15744,266,1,3,2,1,0
2026-08-20T07:05:00Z,2026-08-20T07:10:00Z,0,0,0,2,2,2,102713,518,103231,1536,108,0,2,2,0,0
2026-08-20T07:10:00Z,2026-08-20T07:15:00Z,1,5,0,5,5,5,256824,1040,257864,19840,412,1,5,4,1,0
2026-08-20T07:15:00Z,2026-08-20T07:20:00Z,1,5,0,1,1,1,51360,128,51488,14208,92,1,0,0,0,0
2026-08-20T07:20:00Z,2026-08-20T07:25:00Z,0,0,0,4,4,4,205624,1147,206771,256,306,1,5,3,2,0
2026-08-20T07:25:00Z,2026-08-20T07:30:00Z,1,5,0,2,2,2,102797,195,102992,2432,131,2,1,0,1,0
2026-08-20T07:30:00Z,2026-08-20T07:35:00Z,0,0,0,2,2,2,157321,2446,159767,65792,992,1,2,0,2,0
2026-08-20T07:35:00Z,2026-08-20T07:40:00Z,0,0,0,1,1,1,51354,454,51808,14336,64,1,2,1,1,0
2026-08-20T07:40:00Z,2026-08-20T07:45:00Z,1,5,0,4,4,4,205692,1376,207068,19840,603,1,3,2,1,0
2026-08-20T07:45:00Z,2026-08-20T07:50:00Z,0,0,0,1,1,1,51359,207,51566,5248,130,1,2,1,1,0
2026-08-20T07:50:00Z,2026-08-20T07:55:00Z,1,5,0,3,3,3,154164,1049,155213,14464,434,1,2,1,1,0
2026-08-20T07:55:00Z,2026-08-20T08:00:00Z,0,0,0,2,2,2,102701,229,102930,5376,114,2,3,1,2,0
2026-08-20T08:00:00Z,2026-08-20T08:05:00Z,1,5,0,1,1,1,51345,171,51516,5248,99,0,0,0,0,0
2026-08-20T08:05:00Z,2026-08-20T08:10:00Z,0,0,0,4,4,4,205574,1636,207210,5632,390,2,4,3,1,0
2026-08-20T08:10:00Z,2026-08-20T08:15:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2026-08-20T08:15:00Z,2026-08-20T08:20:00Z,1,5,0,5,5,5,257350,2736,260086,44160,621,2,4,3,1,0
2026-08-20T08:20:00Z,2026-08-20T08:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2026-08-20T08:25:00Z,2026-08-20T08:30:00Z,1,5,0,2,2,2,102696,1044,103740,15616,222,2,1,0,1,0
2026-08-20T08:30:00Z,2026-08-20T08:35:00Z,0,0,0,2,2,2,155338,1248,156586,70784,351,2,2,0,2,0
2026-08-20T08:35:00Z,2026-08-20T08:40:00Z,0,0,0,1,1,1,51332,99,51431,128,57,1,2,0,2,0
2026-08-20T08:40:00Z,2026-08-20T08:45:00Z,1,5,0,3,3,3,154554,1591,156145,14592,631,1,2,1,1,0
2026-08-20T08:45:00Z,2026-08-20T08:50:00Z,0,0,0,2,2,2,102712,568,103280,5376,183,1,3,2,1,0
2026-08-20T08:50:00Z,2026-08-20T08:55:00Z,1,5,0,3,3,3,154224,954,155178,64128,277,1,2,1,1,0
2026-08-20T08:55:00Z,2026-08-20T09:00:00Z,0,0,0,2,2,2,102702,424,103126,10496,120,1,3,2,1,0
2026-08-20T09:00:00Z,2026-08-20T09:05:00Z,1,5,0,5,5,5,257407,1646,259053,28800,536,0,4,4,0,0
2026-08-20T09:05:00Z,2026-08-20T09:10:00Z,1,5,1,3,3,3,154266,3054,157320,384,332,0,4,4,0,0
2026-08-20T09:10:00Z,2026-08-20T09:15:00Z,0,0,0,2,2,4,206123,919,207042,116992,340,1,2,1,1,0
2026-08-20T09:15:00Z,2026-08-20T09:20:00Z,0,0,0,3,3,3,154076,1460,155536,28544,232,0,0,0,0,0
2026-08-20T09:20:00Z,2026-08-20T09:25:00Z,1,5,1,6,6,6,362512,2737,365249,25088,659,2,3,3,0,0
2026-08-20T09:25:00Z,2026-08-20T09:30:00Z,0,0,0,1,1,1,51371,159,51530,2432,61,0,1,0,1,0
2026-08-20T09:30:00Z,2026-08-20T09:35:00Z,0,0,0,1,1,1,51354,664,52018,5248,64,0,1,1,0,0
2026-08-20T09:35:00Z,2026-08-20T09:40:00Z,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T09:40:00Z,2026-08-20T09:45:00Z,0,0,0,3,3,3,154288,525,154813,24832,220,1,1,1,0,0
2026-08-20T09:45:00Z,2026-08-20T09:50:00Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T09:50:00Z,2026-08-20T09:55:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T09:55:00Z,2026-08-20T10:00:00Z,0,0,0,1,1,1,51205,90,51295,128,58,0,0,0,0,0
2026-08-20T10:00:00Z,2026-08-20T10:05:00Z,0,0,0,2,2,2,102759,509,103268,0,227,1,1,1,0,0
2026-08-20T10:05:00Z,2026-08-20T10:10:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:10:00Z,2026-08-20T10:15:00Z,0,0,0,2,2,2,102836,715,103551,0,180,0,1,1,0,0
2026-08-20T10:15:00Z,2026-08-20T10:20:00Z,0,0,0,1,1,3,154600,719,155319,102912,214,0,2,2,0,0
2026-08-20T10:20:00Z,2026-08-20T10:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:25:00Z,2026-08-20T10:30:00Z,1,5,1,2,2,2,102734,861,103595,256,175,0,1,1,0,0
2026-08-20T10:30:00Z,2026-08-20T10:35:00Z,0,0,0,2,2,2,102831,866,103697,128,202,0,2,2,0,0
2026-08-20T10:35:00Z,2026-08-20T10:40:00Z,0,0,0,1,1,1,51442,384,51826,0,211,0,2,2,0,0
2026-08-20T10:40:00Z,2026-08-20T10:45:00Z,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:45:00Z,2026-08-20T10:50:00Z,0,0,0,3,3,3,154647,1265,155912,256,451,0,3,3,0,0
2026-08-20T10:50:00Z,2026-08-20T10:55:00Z,0,0,0,2,2,2,102718,695,103413,256,148,0,1,1,0,0
2026-08-20T10:55:00Z,2026-08-20T11:00:00Z,0,0,0,1,1,1,51367,237,51604,128,80,0,1,1,0,0
2026-08-20T11:00:00Z,2026-08-20T11:05:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:05:00Z,2026-08-20T11:10:00Z,1,5,1,1,1,1,51230,166,51396,1408,75,0,0,0,0,0
2026-08-20T11:10:00Z,2026-08-20T11:15:00Z,0,0,0,1,1,1,51225,86,51311,0,51,0,0,0,0,0
2026-08-20T11:15:00Z,2026-08-20T11:20:00Z,0,0,0,1,1,1,51206,135,51341,128,67,0,1,1,0,0
2026-08-20T11:20:00Z,2026-08-20T11:25:00Z,0,0,0,2,2,2,102585,1145,103730,256,157,0,2,2,0,0
2026-08-20T11:25:00Z,2026-08-20T11:30:00Z,0,0,0,1,1,1,51430,132,51562,14208,104,0,0,0,0,0
2026-08-20T11:30:00Z,2026-08-20T11:35:00Z,0,0,0,2,2,4,213647,1490,215137,112256,568,0,1,1,0,0
2026-08-20T11:35:00Z,2026-08-20T11:40:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:40:00Z,2026-08-20T11:45:00Z,0,0,0,1,1,1,51368,143,51511,128,112,0,0,0,0,0
2026-08-20T11:45:00Z,2026-08-20T11:50:00Z,0,0,0,1,1,1,51347,361,51708,5248,56,0,1,1,0,0
2026-08-20T11:50:00Z,2026-08-20T11:55:00Z,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:55:00Z,2026-08-20T12:00:00Z,0,0,0,3,3,3,154468,1430,155898,1536,504,0,3,3,0,0
2026-08-20T12:00:00Z,2026-08-20T12:05:00Z,0,0,0,2,2,2,102781,615,103396,256,218,0,1,1,0,0
2026-08-20T12:05:00Z,2026-08-20T12:10:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:10:00Z,2026-08-20T12:15:00Z,0,0,0,1,1,1,51633,416,52049,14336,152,0,1,1,0,0
2026-08-20T12:15:00Z,2026-08-20T12:20:00Z,1,5,1,1,1,1,51385,103,51488,5248,60,0,0,0,0,0
2026-08-20T12:20:00Z,2026-08-20T12:25:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:25:00Z,2026-08-20T12:30:00Z,0,0,0,1,1,1,51368,85,51453,0,56,0,0,0,0,0
2026-08-20T12:30:00Z,2026-08-20T12:35:00Z,0,0,0,2,2,2,102750,750,103500,1408,181,0,2,2,0,0
2026-08-20T12:35:00Z,2026-08-20T12:40:00Z,0,0,0,3,3,3,154533,1115,155648,19584,633,0,2,2,0,0
2026-08-20T12:40:00Z,2026-08-20T12:45:00Z,0,0,0,1,1,1,51431,339,51770,128,115,0,1,1,0,0
2026-08-20T12:45:00Z,2026-08-20T12:50:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:50:00Z,2026-08-20T12:55:00Z,1,5,1,2,2,2,102756,840,103596,5248,172,0,2,2,0,0
2026-08-20T12:55:00Z,2026-08-20T13:00:00Z,0,0,0,2,2,2,103069,462,103531,128,129,0,0,0,0,0
2026-08-20T13:00:00Z,2026-08-20T13:05:00Z,0,0,0,2,2,2,102738,241,102979,5376,181,0,1,1,0,0
2026-08-20T13:05:00Z,2026-08-20T13:10:00Z,0,0,0,1,1,1,51537,328,51865,128,100,0,1,1,0,0
2026-08-20T13:10:00Z,2026-08-20T13:15:00Z,0,0,0,1,1,1,51837,492,52329,128,73,0,1,1,0,0
2026-08-20T13:15:00Z,2026-08-20T13:20:00Z,1,5,1,2,2,2,104125,1244,105369,256,481,0,2,2,0,0
2026-08-20T13:20:00Z,2026-08-20T13:25:00Z,0,0,0,2,2,2,102780,812,103592,10496,533,0,1,1,0,0
2026-08-20T13:25:00Z,2026-08-20T13:30:00Z,0,0,0,2,2,2,102737,172,102909,5248,114,1,1,1,0,0
2026-08-20T13:30:00Z,2026-08-20T13:35:00Z,0,0,0,1,1,1,51366,461,51827,5248,60,0,1,1,0,0
